sampleName,nCount_RNA,nFeature_RNA,percent.mt
WT_0h,18684,6002,0.519160779276386
WT_0h,15356,5307,0.182339150820526
WT_0h,4240,2307,0.259433962264151
WT_0h,3080,1854,0.0649350649350649
WT_0h,11263,4251,0.408416940424399
WT_0h,6919,3475,0.0722647781471311
WT_0h,3791,2166,0.448430493273543
WT_0h,4727,2381,0.211550666384599
WT_0h,4416,2202,0.158514492753623
WT_0h,5138,2497,0.0583884780070066
WT_0h,3083,2006,0.227051573143042
WT_0h,5744,2788,0.174094707520891
WT_0h,3147,1917,0.444868128376231
WT_0h,4138,2215,0.0724987916868052
WT_0h,3286,1870,0.304321363359708
WT_0h,4771,2544,1.42527771955565
WT_0h,6641,2953,0.0903478391808463
WT_0h,4074,2335,0.859106529209622
WT_0h,7947,3407,0.390084308544105
WT_0h,2937,1764,0.0680966973101804
WT_0h,1882,1296,0.318809776833156
WT_0h,2215,1492,0.225733634311512
WT_0h,3026,1788,0.23132848645076
WT_0h,5389,2813,0.241232139543515
WT_0h,7844,3386,0.114737378888322
WT_0h,8254,3693,0.920765689362733
WT_0h,3862,2200,0.595546349041947
WT_0h,3468,2099,0.893886966551326
WT_0h,25731,7131,0.699545295557887
WT_0h,5292,2794,0.018896447467876
WT_0h,2331,1552,0.128700128700129
WT_0h,8505,3734,0.0235155790711346
WT_0h,4167,2413,0.287976961843053
WT_0h,3364,1888,0.118906064209275
WT_0h,3637,2105,0.0274951883420401
WT_0h,3396,1951,0.559481743227326
WT_0h,3867,2155,0.206878717351952
WT_0h,3286,2025,0.365185636031649
WT_0h,4061,2144,0.098497906919478
WT_0h,2389,1646,0.209292591042277
WT_0h,1584,1068,0.315656565656566
WT_0h,6970,3181,0.143472022955524
WT_0h,10216,4210,0.185982772122161
WT_0h,4795,2403,0.187695516162669
WT_0h,1456,1073,0.274725274725275
WT_0h,5483,2618,0.0911909538573774
WT_0h,5279,2731,0.0568289448759235
WT_0h,6106,3067,0.638716017032427
WT_0h,6343,2854,0.173419517578433
WT_0h,4759,2424,0.315192267283043
WT_0h,5790,2622,0.120898100172712
WT_0h,3347,2029,0.149387511204063
WT_0h,8850,3846,0.214689265536723
WT_0h,4187,2112,0.286601385240029
WT_0h,6163,2843,0.178484504299854
WT_0h,3159,1797,0.158277936055714
WT_0h,537,451,0.558659217877095
WT_0h,2622,1545,0.45766590389016
WT_0h,349,280,3.72492836676218
WT_0h,3592,1975,0.167037861915367
