avg.exp,pct.exp,features.plot,id,avg.exp.scaled,gene,sample,specie,sampleTP,regenerative
0.750719460854766,52.184336707512,Egln1,Mouse_E125,0.560026823936988,EGLN1,mouse_E125_new,mouse,mouse_E125,non_regenerative
0.706190296633157,51.7181672882259,Egln2,Mouse_E125,0.534262988354704,EGLN2,mouse_E125_new,mouse,mouse_E125,non_regenerative
0.0263252770212271,2.75705913692062,Egln3,Mouse_E125,0.0259847306376256,EGLN3,mouse_E125_new,mouse,mouse_E125,non_regenerative
0.761250405581321,53.2099094299414,Hif1a,Mouse_E125,0.566024014511107,HIF1A,mouse_E125_new,mouse,mouse_E125,non_regenerative
0.171993224367989,17.0085242408098,Vhl,Mouse_E125,0.158705909882127,VHL,mouse_E125_new,mouse,mouse_E125,non_regenerative
0.203482048233284,19.9120937666489,Hif1an,Mouse_E125,0.185219061830018,HIF1AN,mouse_E125_new,mouse,mouse_E125,non_regenerative
0.307155171894266,37.5266958201973,Egln1,Mouse_E95,0.267853151309035,EGLN1,mouse_E95_f2000_new,mouse,mouse_E95,non_regenerative
0.902030720283142,71.9515915793756,Egln2,Mouse_E95,0.642922115561187,EGLN2,mouse_E95_f2000_new,mouse,mouse_E95,non_regenerative
0.0340172967302299,4.78999288111461,Egln3,Mouse_E95,0.0334515039252721,EGLN3,mouse_E95_f2000_new,mouse,mouse_E95,non_regenerative
0.743848878268959,65.2801789891183,Hif1a,Mouse_E95,0.556094669363538,HIF1A,mouse_E95_f2000_new,mouse,mouse_E95,non_regenerative
0.154614458898053,22.2719414217431,Vhl,Mouse_E95,0.143766486429661,VHL,mouse_E95_f2000_new,mouse,mouse_E95,non_regenerative
0.25285150471845,32.6756839214889,Hif1an,Mouse_E95,0.225422157093926,HIF1AN,mouse_E95_f2000_new,mouse,mouse_E95,non_regenerative
0.85623640333496,57.7756653992395,hif1a.L,Frog_NF50,0.618550998739331,HIF1A,xenopus_ST50_new,xenopus,xenopus_ST50,regenerative
0.248260862521719,26.425855513308,egln1.S,Frog_NF50,0.221751272561174,EGLN1,xenopus_ST50_new,xenopus,xenopus_ST50,regenerative
0.132649995461273,14.4296577946768,egln2.L,Frog_NF50,0.124560015928232,EGLN2,xenopus_ST50_new,xenopus,xenopus_ST50,regenerative
0.0344953872262321,4.106463878327,hif1an.S,Frog_NF50,0.0339137592531929,HIF1AN,xenopus_ST50_new,xenopus,xenopus_ST50,regenerative
0.0304384473778728,3.19391634980989,egln3.L,Frog_NF50,0.0299843887326609,EGLN3,xenopus_ST50_new,xenopus,xenopus_ST50,regenerative
0.00642490936313208,0.988593155893536,vhl.L,Frog_NF50,0.00640435761474638,VHL,xenopus_ST50_new,xenopus,xenopus_ST50,regenerative
0.948062507517113,64.2832167832168,hif1a.L,Frog_NF51,0.666835292753332,HIF1A,xenopus_ST51_new,xenopus,xenopus_ST51,regenerative
0.232194113667059,24.5804195804196,egln1.S,Frog_NF51,0.208796412494778,EGLN1,xenopus_ST51_new,xenopus,xenopus_ST51,regenerative
0.112732860529775,13.0244755244755,egln2.L,Frog_NF51,0.106819025991136,EGLN2,xenopus_ST51_new,xenopus,xenopus_ST51,regenerative
0.0336444941804171,4.51048951048951,hif1an.S,Frog_NF51,0.0330909008948428,HIF1AN,xenopus_ST51_new,xenopus,xenopus_ST51,regenerative
0.0333772212245377,3.35664335664336,egln3.L,Frog_NF51,0.0328322940738529,EGLN3,xenopus_ST51_new,xenopus,xenopus_ST51,regenerative
0.00898787447478556,0.751748251748252,vhl.L,Frog_NF51,0.00894772393036836,VHL,xenopus_ST51_new,xenopus,xenopus_ST51,regenerative
0.937802403828611,60.1174934725849,hif1a.L,Frog_NF52,0.661554549461656,HIF1A,xenopus_ST52_new,xenopus,xenopus_ST52,regenerative
0.254426499986536,24.7878590078329,egln1.S,Frog_NF52,0.226678496017885,EGLN1,xenopus_ST52_new,xenopus,xenopus_ST52,regenerative
0.103741070693516,11.6840731070496,egln2.L,Frog_NF52,0.0987053829314092,EGLN2,xenopus_ST52_new,xenopus,xenopus_ST52,regenerative
0.0293312931768411,3.81853785900783,egln3.L,Frog_NF52,0.0289093614751383,EGLN3,xenopus_ST52_new,xenopus,xenopus_ST52,regenerative
0.028852981523282,3.7532637075718,hif1an.S,Frog_NF52,0.028444571545442,HIF1AN,xenopus_ST52_new,xenopus,xenopus_ST52,regenerative
0.00528094773371683,0.522193211488251,vhl.L,Frog_NF52,0.00526705242802077,VHL,xenopus_ST52_new,xenopus,xenopus_ST52,regenerative
0.899760320115093,53.0543530543531,hif1a.L,Frog_NF54,0.641727730907308,HIF1A,xenopus_ST54_new,xenopus,xenopus_ST54,regenerative
0.199346241684499,19.5767195767196,egln1.S,Frog_NF54,0.181776609741027,EGLN1,xenopus_ST54_new,xenopus,xenopus_ST54,regenerative
0.0845614016918747,9.33140933140933,egln2.L,Frog_NF54,0.0811756671941833,EGLN2,xenopus_ST54_new,xenopus,xenopus_ST54,regenerative
0.047314884361898,5.14670514670515,hif1an.L,Frog_NF54,0.0462296358242042,HIF1AN,xenopus_ST54_new,xenopus,xenopus_ST54,regenerative
0.0432375012024846,4.18470418470418,egln3.L,Frog_NF54,0.042328859782707,EGLN3,xenopus_ST54_new,xenopus,xenopus_ST54,regenerative
0.00863680657868941,2.06830206830207,vhl.S,Frog_NF54,0.0085997227357598,VHL,xenopus_ST54_new,xenopus,xenopus_ST54,regenerative
